ABMI Site,RAM Lot,Sorting Tech.,Date Sorted,Date Collected,Collector(s),,,,,,Vials,Coarse Group,Kingdom,Phylum,SubPhylum,Class,SubClass,InfraClass,Order,SubOrder,Family,Subfamily,Genus,Species,Final Id,Authority,Life Stage,Determined,,,Specimen Count,Notes,Vial Storage,TMS Number,Year
CABIN-W1021,ABMI.2022.CABIN-W1021.A,LaPierre,14-Oct-22,6/28/2022,Beamish,Kathleen,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,LaPierre,Alex,3/15/2023,2,,mv,ABMI.A.44397,2022
W1054-D,ABMI.2022.W1054-D.A,Tebby,20-Oct-22,6/29/2022,Bishop,Bee,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,Tebby,Cheryl,3/31/2023,6,,mv,ABMI.A.33901,2022
W1055,ABMI.2022.W1055.A,LaPierre,19-Oct-22,6/28/2022,Bishop,Bee,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,apicalis,Haliplus apicalis,,adult,Tebby,Cheryl,3/31/2023,1,,mv,ABMI.A.33916,2022
CABIN-W1020,ABMI.2022.CABIN-W1020.A,Hinchliffe,11-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,2/23/2023,2,,mv,ABMI.A.44372,2022
CABIN-W1021-D,ABMI.2022.CABIN-W1021-D.A,Beamish,14-Oct-22,6/28/2022,Beamish,Kathleen,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,3/17/2023,1,male,mv,ABMI.A.44409,2022
CABIN-W1221-D,ABMI.2022.CABIN-W1221-D.A,LaPierre,23-Nov-22,7/11/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,5/29/2023,1,,mv,ABMI.A.44824,2022
W1020,ABMI.2022.W1020.A,LaPierre,7-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,Tebby,Cheryl,2/15/2023,2,female,mv,ABMI.A.33703,2022
CABIN-W1020,ABMI.2022.CABIN-W1020.A,Hinchliffe,11-Oct-22,7/9/2022,Shaw,Linus,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,2/23/2023,2,males,mv,ABMI.A.44364,2022
CABIN-W1189,ABMI.2022.CABIN-W1189.A,Hinchliffe,24-Oct-22,7/14/2022,Beamish,Kathleen,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,5/5/2023,3,,mv,ABMI.A.44675,2022
CABIN-W1219,ABMI.2022.CABIN-W1219.A,LaPierre,2-Nov-22,7/13/2022,Lachance,Rose,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,5/12/2023,1,,mv,ABMI.A.44695,2022
CABIN-W1219,ABMI.2022.CABIN-W1219.A,LaPierre,2-Nov-22,7/13/2022,Lachance,Rose,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,5/12/2023,3,,mv,ABMI.A.44702,2022
CABIN-W1219-D,ABMI.2022.CABIN-W1219-D.A,LaPierre,3-Nov-22,7/13/2022,Lachance,Rose,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,5/12/2023,1,,mv,ABMI.A.44725,2022
CABIN-W1250,ABMI.2022.CABIN-W1250.A,LaPierre,1-Dec-22,7/8/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,6/9/2023,1,male,mv,ABMI.A.44926,2022
W1250-D,ABMI.2022.W1250-D.A,Tebby,30-Nov-22,7/8/2022,Bishop,Bee,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,6/16/2023,1,female,mv,ABMI.A.34249,2022
CABIN-W1189,ABMI.2022.CABIN-W1189.A,Hinchliffe,24-Oct-22,7/14/2022,Beamish,Kathleen,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,LaPierre,Alex,5/5/2023,3,,mv,ABMI.A.44658,2022
W1220,ABMI.2022.W1220.A,Lachance,28-Sep-22,7/9/2022,Lachance,Rose,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Callicorixa,audeni,Callicorixa audeni,"Hungerford, 1928",adult,Tebby,Cheryl,5/12/2023,1,,mv,ABMI.A.34135,2022
