Rotation,ABMI Site,Year,Field Date,Field Crew Member(s),Location,Time,Depth (metres),Temperature (Degrees Celsius),pH,Dissolved Oxygen (milligrams/Litre),Conductivity (mSiemens/cm),Salinity (parts per thousand),Total Nitrogen (micrograms/Litre),Total Phosphorous (micrograms/Litre),Dissolved Organic Carbon (milligrams/Litre),Turbidity
Rotation 1,574,2007,21-Jul-07,AST,Position 3,PNA,1.7,24.2,9.17,10.18,0.176,0.09,961,47,19.5,PNA
Rotation 1,575,2007,8-Jul-07,AST,Deepest Point,PNA,1,19.79,7.66,5.62,0.15,0.07,1150,42,31.6,PNA
Rotation 1,575,2007,8-Jul-07,AST,Position 2,PNA,0.9,19.71,7.69,5.52,0.151,0.07,1150,42,31.6,PNA
Rotation 1,575,2007,8-Jul-07,AST,Position 3,PNA,0.9,19.59,7.7,5.42,0.15,0.07,1150,42,31.6,PNA
Rotation 1,576,2007,8-Jul-07,RSW,Deepest Point,PNA,1.1,20.03,6.67,7.25,0.063,0.03,1290,32,42.2,PNA
Rotation 1,576,2007,8-Jul-07,RSW,Position 2,PNA,0.9,20.08,6.95,6.88,0.064,0.03,1290,32,42.2,PNA
Rotation 1,576,2007,8-Jul-07,RSW,Position 3,PNA,1,19.98,7.02,6.75,0.064,0.03,1290,32,42.2,PNA
Rotation 1,584,2007,20-Jul-07,CHE,Deepest Point,PNA,1.3,19.08,7.55,3.57,0.348,0.17,1800,95,28.2,PNA
Rotation 1,584,2007,20-Jul-07,CHE,Position 2,PNA,0.7,19.14,7.54,3.32,0.348,0.17,1800,95,28.2,PNA
Rotation 1,584,2007,20-Jul-07,CHE,Position 3,PNA,1,18.92,7.43,2.32,0.349,0.17,1800,95,28.2,PNA
Rotation 1,585,2007,17-Jul-07,CHE,Deepest Point,PNA,0.8,23.86,7.09,2.95,0.203,0.1,1480,50,41.5,PNA
Rotation 1,585,2007,17-Jul-07,CHE,Position 2,PNA,0.8,23.96,7.46,4.64,0.18,0.09,1480,50,41.5,PNA
Rotation 1,585,2007,17-Jul-07,CHE,Position 3,PNA,0.8,22.4,6.96,2.38,0.184,0.09,1480,50,41.5,PNA
Rotation 1,586,2007,21-Jul-07,CHE,Deepest Point,PNA,1,16.9,6.6,0.37,0.23,0.11,2420,424,24.7,PNA
Rotation 1,586,2007,21-Jul-07,CHE,Position 2,PNA,0.8,17.2,6.71,0.22,0.191,0.09,2420,424,24.7,PNA
Rotation 1,586,2007,21-Jul-07,CHE,Position 3,PNA,1.3,16.24,6.63,0.24,0.25,0.12,2420,424,24.7,PNA
Rotation 1,599,2007,4-Jul-07,AST,Deepest Point,PNA,1,14.4,6.89,3.1,0.115,0.06,1460,38,48.3,PNA
Rotation 1,599,2007,4-Jul-07,AST,Position 2,PNA,0.5,14.24,6.94,3.9,0.118,0.06,1460,38,48.3,PNA
Rotation 1,599,2007,4-Jul-07,AST,Position 3,PNA,0.7,14.2,6.92,4.02,0.117,0.06,1460,38,48.3,PNA
Rotation 1,600,2007,4-Jul-07,RSW,Deepest Point,PNA,1.6,22.24,8.12,8.07,0.956,0.47,1350,303,14.7,PNA
Rotation 1,600,2007,4-Jul-07,RSW,Position 2,PNA,1.4,22.18,8.12,8.39,0.956,0.47,1350,303,14.7,PNA
Rotation 1,600,2007,4-Jul-07,RSW,Position 3,PNA,1.3,22.24,8.22,7.96,0.956,0.47,1350,303,14.7,PNA
Rotation 1,601,2007,7-Jul-07,AST,Deepest Point,PNA,1.3,20.59,6.65,7.45,0.028,0.02,1270,70,26.6,PNA
Rotation 1,601,2007,7-Jul-07,AST,Position 2,PNA,1.2,20.46,6.74,7.19,0.027,0.02,1270,70,26.6,PNA
Rotation 1,601,2007,7-Jul-07,AST,Position 3,PNA,1.3,20.38,6.75,7.19,0.027,0.02,1270,70,26.6,PNA
Rotation 1,616,2007,22-Jul-07,CHE,Deepest Point,PNA,1.2,20.75,9.77,8.7,0.205,0.1,4290,228,32.6,PNA
Rotation 1,616,2007,22-Jul-07,CHE,Position 2,PNA,1.1,21.4,10.07,12.42,0.205,0.1,4290,228,32.6,PNA
Rotation 1,616,2007,22-Jul-07,CHE,Position 3,PNA,1.1,21.3,9.91,10.9,0.205,0.1,4290,228,32.6,PNA
Rotation 1,617,2007,16-Jul-07,CHE,Deepest Point,PNA,2.2,22.76,8.19,7.4,0.139,0.07,1610,109,19.2,PNA
Rotation 1,617,2007,16-Jul-07,CHE,Position 2,PNA,2.1,23.51,8.32,9.6,0.137,0.07,1610,109,19.2,PNA
Rotation 1,617,2007,16-Jul-07,CHE,Position 3,PNA,1.9,23.18,8.33,9.63,0.138,0.07,1610,109,19.2,PNA
Rotation 1,618,2007,18-Jul-07,CHE,Deepest Point,PNA,1.2,16.23,6.85,0.38,0.291,0.14,1910,256,20.5,PNA
Rotation 1,618,2007,18-Jul-07,CHE,Position 2,PNA,0.9,17.2,6.87,0.18,0.253,0.12,1910,256,20.5,PNA
Rotation 1,618,2007,18-Jul-07,CHE,Position 3,PNA,1.2,17.24,6.82,0.12,0.249,0.12,1910,256,20.5,PNA
Rotation 1,631,2007,5-Jul-07,AST,Deepest Point,PNA,1.7,20.08,6.71,7.37,0.06,0.03,904,65,41.7,PNA
Rotation 1,631,2007,5-Jul-07,AST,Position 2,PNA,1.4,20.12,6.76,6.87,0.06,0.03,904,65,41.7,PNA
Rotation 1,631,2007,5-Jul-07,AST,Position 3,PNA,1.6,20.08,6.79,6.98,0.06,0.03,904,65,41.7,PNA
Rotation 1,632,2007,5-Jul-07,RSW,Deepest Point,PNA,1,24.25,8.52,8.36,1.223,0.61,4310,394,34.6,PNA
Rotation 1,632,2007,5-Jul-07,RSW,Position 2,PNA,1,24.2,8.5,7.97,1.218,0.61,4310,394,34.6,PNA
Rotation 1,632,2007,5-Jul-07,RSW,Position 3,PNA,0.9,24.44,8.02,8.36,1.241,0.62,4310,394,34.6,PNA
Rotation 1,633,2007,7-Jul-07,RSW,Deepest Point,PNA,1.4,21.5,6.5,6.8,0.05,0.03,1420,43,24.3,PNA
Rotation 1,633,2007,7-Jul-07,RSW,Position 2,PNA,1.3,21.07,6.46,6.82,0.048,0.03,1420,43,24.3,PNA
Rotation 1,633,2007,7-Jul-07,RSW,Position 3,PNA,1.3,21.15,6.34,6.74,0.047,0.03,1420,43,24.3,PNA
