ABMI Site,RAM Lot,Sorting Tech.,Date Sorted,Date Collected,Vials,Coarse Group,Kingdom,Phylum,SubPhylum,Class,SubClass,InfraClass,Order,SubOrder,Family,Subfamily,Genus,Species,Final Id,Authority,Life Stage,Determined,,,Specimen Count,Notes,Vial Storage,TMS Number,Year
W1069,ABMI.2023.W1069.A, Field,9-Nov-23,7/26/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Ferrissia,sp.,Ferrissia,"Walker, 1903",unknown,Hinchliffe,Robert,11/28/2023,3,,mv,ABMI.A.34415,2023
CABIN-W1036,ABMI.2023.CABIN-W1036.A,Weller,27-Sep-23,7/13/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Ferrissia,sp.,Ferrissia,"Walker, 1903",unknown, Field,Daniel,11/28/2023,1,,mv,ABMI.A.34439,2023
CABIN-W1069,ABMI.2023.CABIN-W1069.A, Field,14-Nov-23,7/26/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Ferrissia,sp.,Ferrissia,"Walker, 1903",unknown, Field,Daniel,11/29/2023,26,,mv,ABMI.A.34467,2023
W1348-D,ABMI.2023.W1348-D.A, Field,1-Nov-23,7/10/2023,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Notonectidae,Notonectinae,Notonecta,borealis,Notonecta borealis,"Hussey, 1919",adult,Hinchliffe,Robert,12/11/2023,1,,mv,ABMI.A.61520,2023
CABIN-W1348,ABMI.2023.CABIN-W1348.A,Weller,7-Nov-23,7/10/2023,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Notonectidae,Notonectinae,Notonecta,borealis,Notonecta borealis,"Hussey, 1919",adult, Srayko,Stephen,12/20/2023,2,,mv,ABMI.A.61580,2023
CABIN-W1168,ABMI.2023.CABIN-W1168.A, Field,23-Oct-23,6/27/2023,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Hydrophilidae,Hydrophilinae,Berosus,stylifer,Berosus stylifer,"Horn, 1873",adult, Field,Daniel,12/1/2023,1,,mv,ABMI.A.34486,2023
CABIN-W1402,ABMI.2023.CABIN-W1402.A,Catbagan,8-Nov-23,7/8/2023,,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Sigara,bicoloripennis,Sigara bicoloripennis,"(Walley, 1936)",adult, Srayko,Stephen,12/18/2023,,,,ABMI.A.70238,2023
W1402,ABMI.2023.W1402.A, Field,27-Oct-23,7/8/2023,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Sigara,bicoloripennis,Sigara bicoloripennis,"(Walley, 1936)",adult,Weller,Zachary,12/8/2023,1,,mv,ABMI.A.61517,2023
CABIN-W139,ABMI.2023.CABIN-W139.A,Catbagan,9-Nov-23,7/22/2023,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Haliplidae,,Haliplus,cribrarius,Haliplus cribrarius,"Leconte, 1950",adult, Srayko,Stephen,12/6/2023,1,,mv,ABMI.A.70084,2023
W1549,ABMI.2023.W1549.A, Field,2-Oct-23,7/8/2023,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Laccophilinae,Laccophilus,maculosus,Laccophilus maculosus,"Say, 1823",larva,Weller,Zachary,11/24/2023,1,,mv,ABMI.A.61341,2023
CABIN-W139,ABMI.2023.CABIN-W139.A,Catbagan,9-Nov-23,7/22/2023,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Agabinae,Ilybius,subaeneus,Ilybius subaeneus,"Erichson, 1837",larva,Weller,Zachary,12/1/2023,1,,mv,ABMI.A.61452,2023
W1258-D,ABMI.2023.W1258-D.A,Weller,22-Nov-23,6/28/2023,slide,Chironomidae,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Nematocera,Chironomidae,Tanypodinae,Conchapelopia,sp.,Conchapelopia,Fittkau,larva, Srayko,Stephen,2/8/2024,1,,slide,ABMI.A.70429,2023
W1170-D,ABMI.2023.W1170-D.A,Weller,11-Oct-23,6/29/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,2,,mv,ABMI.A.34394,2023
W1200B,ABMI.2023.W1200B.A, Field,7-Nov-23,7/14/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,3,,mv,ABMI.A.34414,2023
W1200B-D,ABMI.2023.W1200B-D.A, Field,30-Oct-23,7/14/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,1,,mv,ABMI.A.34408,2023
W1402-D,ABMI.2023.W1402-D.A, Field,6-Nov-23,7/8/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,4,,mv,ABMI.A.34410,2023
CABIN-W1168,ABMI.2023.CABIN-W1168.A, Field,23-Oct-23,6/27/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,11,,mv,ABMI.A.34445,2023
CABIN-W1200B-D,ABMI.2023.CABIN-W1200B-D.A, Field,25-Oct-23,7/14/2023,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physella,sp.,Physella,"Haldeman, 1842",unknown,Hinchliffe,Robert,12/12/2023,16,,mv,ABMI.A.34448,2023
