ABMI Site,RAM Lot,Sorting Tech.,Date Sorted,Date Collected,Collector(s),,,,,,Vials,Coarse Group,Kingdom,Phylum,SubPhylum,Class,SubClass,InfraClass,Order,SubOrder,Family,Subfamily,Genus,Species,Final Id,Authority,Life Stage,Determined,,,Specimen Count,Notes,Vial Storage,TMS Number,Year
W1580,ABMI.2018.W1580.A,Uherek,10-Aug-2018,2018-06-19,Bos,Jessica,,,,,mv,Hemiptera,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Sigara,solensis,Sigara solensis,"(Hungerford, 1926)",adult,Tebby,Cheryl,2018-10-10,1,female,mv,ABMI.A.31193,2018
W1580,ABMI.2018.W1580.A,Uherek,10-Aug-2018,2018-06-19,Bos,Jessica,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Neoporus,superioris,Neoporus superioris,"(J. Balfour-Browne, 1944)",adult,Tebby,Cheryl,2018-10-10,1,female,mv,ABMI.A.31194,2018
W680,ABMI.2018.W680.A,,08-Aug-18,2018-07-3,Dvores,Yosef,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,,UID,Hydroporinae,,larva,Hinchliffe,Robert,2018-10-11,2,,mv,ABMI.A.31087,2018
W1579,ABMI.2018.W1579.A,Uherek,13-Aug-18,2018-06-19,Bos,Jessica,,,,,mv,Coleoptera (adults),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Curculionidae,,Phytobius,leucogaster,Phytobius leucogaster,"(Marsham, 1802)",adult,Tebby,Cheryl,2018-10-11,2,,mv,ABMI.A.31196,2018
W1579,ABMI.2018.W1579.A,Uherek,13-Aug-18,2018-06-19,Bos,Jessica,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Dytiscinae,Dytiscus,sp.,Dytiscus,"Linnaeus, 1758",larva,Tebby,Cheryl,2018-10-11,1,,mv,ABMI.A.31197,2018
W1579,ABMI.2018.W1579.A,Uherek,13-Aug-18,2018-06-19,Bos,Jessica,,,,,mv,Coleoptera (larvae),Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,Dytiscidae,Colymbetinae,Rhantus,sp.,Rhantus,"Dejean, 1833",larva,Tebby,Cheryl,2018-10-11,1,,mv,ABMI.A.31198,2018
W1579,ABMI.2018.W1579.A,Uherek,13-Aug-18,2018-06-19,Bos,Jessica,,,,,mv,UMOS,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Physidae,,Physa,skinneri,Physa skinneri,"Taylor, 1954",unknown,Tebby,Cheryl,2018-10-11,1,,mv,ABMI.A.31199,2018
W1579,ABMI.2018.W1579.A,Uherek,13-Aug-18,2018-06-19,Bos,Jessica,,,,,scv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,,Enallagma,sp.,Enallagma,"Charpentier, 1840",nymph,Tebby,Cheryl,2018-10-11,7,,scv,ABMI.A.31200,2018
W1579,ABMI.2018.W1579.A,Uherek,13-Aug-18,2018-06-19,Bos,Jessica,,,,,mv,UMOS,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Corixidae,Corixinae,Hesperocorixa,laevigata,Hesperocorixa laevigata,"(Uhler, 1893)",adult,Tebby,Cheryl,2018-10-11,1,,mv,ABMI.A.31201,2018
W1649,ABMI.2018.W1649.A,Tebby,14-Aug-18,2018-07-4,Keenan,Kate,,,,,mv,Gastropoda,Animalia,Mollusca,,Gastropoda,,,Basommatophora,,Planorbidae,,Gyraulus,sp.,Gyraulus,"Agassiz, 1837",unknown,Tebby,Cheryl,2018-10-11,3,,mv,ABMI.A.31203,2018
